,0,1,2,3,5,6,7,9,10,22,23
30,(244.81040163447796+71.85634226174741j),(154.13978934537687+85.00944677479026j),(102.71145654274707+102.15550454502127j),(55.18392340113302+163.66053788791817j),(276.61633376394224+84.28171775782404j),(180.22188672935465+43.557009790631845j),(98.51173778053881+164.23403124576976j),(307.7043628224147+133.97441244818606j),(155.2948784728845+179.7917710670774j),(245.3427568358822+77.51948030437224j),(156.40472824207103+122.69253693939484j)
31,(280.80564060993225+12.653759252561581j),(189.23958141229025+50.180299090757565j),(135.94464370701328+79.43431463764657j),(102.49711633059002+156.6481878128387j),(296.85183540156424+7.157876305622974j),(198.36811639980604-12.366709256101107j),(147.99280823255916+140.2058497626603j),(358.3325503466333+42.18180028933625j),(216.79151701227858+144.25610631183514j),(272.51839930600045+8.873915189439337j),(189.64298901004247+89.3156673159774j)
32,(305.19797753694627-68.32246639540273j),(216.6213131607846-5.565187364581889j),(175.61749110160696+45.937444339676226j),(154.60299460658257+146.0773652099501j),(351.832936523467-63.80687252308291j),(222.78490544603207-61.251328314656455j),(209.86623731549656+129.24937705542374j),(402.8291686415261-66.56203181037706j),(277.41165916057315+94.06747383171236j),(305.00341058635365-66.05094620047699j),(236.13757314922185+43.344041586272404j)
33,(316.228887230511-154.71662192911774j),(230.66793184151263-57.88139721182348j),(200.93896793289719+10.566565199191158j),(200.47492969695068+118.90901729520317j),(352.3380234962146-168.5879940138671j),(223.03206837746518-124.33518504927139j),(251.51437795473436+80.94867219668473j),(422.02858540670195-157.8872720624472j),(326.3941446995941+44.443287430845174j),(322.5691849225497-148.99659889657718j),(267.61291548305337-11.870670762550176j)
34,(290.08720450698917-242.60203325877748j),(229.5265987980339-131.44002343457223j),(214.56841985614903-36.57557747213735j),(244.99730975009925+75.20070021696228j),(327.6824215640736-263.2421273170313j),(202.27149976413224-186.7382582824527j),(289.9779062873146+20.78708577433769j),(415.62700075968417-289.72098173860974j),(357.3930002356315-40.03141103529291j),(297.63622702208477-244.46324580026044j),(282.8711655466054-81.76940835125482j)
35,(237.85187056699138-309.4818248990195j),(212.4973493021336-172.34663750723675j),(207.50049681878627-81.54198332847616j),(259.6071904507331+29.690484975557492j),(273.941232486974-341.2486168158872j),(164.1528064278427-235.97036747061674j),(295.52165303609365-31.013927851843587j),(359.64437901825556-364.1057976668062j),(351.68655359362674-108.649831280077j),(246.0716115250068-302.3721619859278j),(267.1619624491963-140.37447519825196j)
36,(182.92880614489488-396.6575174729922j),(190.42227711961507-241.60474493100108j),(202.65583260056226-139.4694448813701j),(293.0696040427608-30.04079961983353j),(219.51341271711385-422.99512053202864j),(120.98446712799003-297.4341107741337j),(311.3482970156181-109.86607584431842j),(280.06780617758466-484.64859406647133j),(350.51517882045056-201.1902889107487j),(200.66578517640846-389.26107056779426j),(258.31425590584496-210.2556495679298j)
37,(128.19660449739933-460.0935564389214j),(150.24797055189117-285.1985903542744j),(187.75991788969105-185.44451043946842j),(300.8389369236401-88.69908048220641j),(150.64666421046863-480.99360734744033j),(62.80680659208406-329.8665155576019j),(303.8496196923419-168.0381322675314j),(227.45826521078808-572.9701792394073j),(332.4628436127284-278.14460082749326j),(134.1076390231506-452.9799194715122j),(230.6131479304854-269.3655395140903j)
38,(16.80219745709767-493.77478888120345j),(85.10866599093177-321.62098425277736j),(154.92109107737085-224.60639969785854j),(282.18328070648187-157.11822137887802j),(28.877138753121095-533.7657385332366j),(-9.778729183582662-342.94567733628753j),(277.8317132535225-241.7174677084595j),(88.76948758651932-623.8159309724713j),(278.7733680302417-354.03269329537443j),(34.542564213985145-483.4936532428032j),(174.53502993742015-331.3031576262829j)
39,(-53.59269233079124-488.86806339640214j),(35.803512694087615-338.82922878070804j),(115.39679721946949-250.17716386422833j),(265.5284198495267-193.22324459548625j),(-63.40484237277873-515.0702332969702j),(-72.24325255308565-340.5082512374979j),(238.2747771354168-277.491588392624j),(8.983226204499527-640.8029296414629j),(222.14896291854606-394.61130244605584j),(-50.627423229400996-482.0160645750343j),(119.36834861460325-357.15905063657823j)
